,Unnamed: 0,Datetime,TweetID,Text,Username
0,0.0,2020-10-31 06:10:22+00:00,1322420631590240260,biasa bgt ngchat klo lgi butuh doang 😂,sweetiebiy
1,1.0,2020-10-22 09:05:58+00:00,1319203329470132227,bener² ya sebentarnya bude itu bisa buat nonton drakor 1 episode.,sweetiebiy
2,2.0,2020-10-20 05:24:24+00:00,1318422797215887360,beruntunglah kalian yg bisa BAB lancar,sweetiebiy
3,3.0,2020-10-19 09:16:28+00:00,1318118811803938819,"Tertampar vokal dan suaranya mereka... Gila sebagus itu mvnya,
Apalagi si doi parah lah dia #NCT2020_FromHome",sweetiebiy
4,4.0,2020-10-18 17:21:51+00:00,1317878571159883777,"ya Allah, jodohkanlah aku dgn teman sdku yg ganteng ituuu",sweetiebiy
5,5.0,2020-10-18 03:43:21+00:00,1317672591167901696,bm makan mie ayam bareng bapake,sweetiebiy
6,6.0,2020-10-13 07:51:33+00:00,1315923113708716032,revisian rasanya Anjim banget😭,sweetiebiy
7,7.0,2020-10-04 04:05:41+00:00,1312604779848167427,"astaghfirullah, lagi diare tapi pen makan pedes",sweetiebiy
8,8.0,2020-10-01 12:55:37+00:00,1311650981675896832,haa gamau flu 😭,sweetiebiy
9,9.0,2020-10-01 01:37:31+00:00,1311480331061481472,"ngerasa bego banget kuliah online gini, skill kaga nambah, males iya",sweetiebiy
10,10.0,2020-12-27 14:58:17+00:00,1343209595267780609,pls uda semingguan lebi w kepikiran pen punya pacar bgT,inqurior
11,11.0,2020-12-27 14:11:27+00:00,1343197808216530944,mau menangis sambil bikin lampu tidur [ * ༎ຶ _ ༎ຶ * ]凸,inqurior
12,12.0,2020-12-25 13:51:54+00:00,1342468113325989890,"tiap abis dari luar gitu maen apega moto pasti ada aje yang bikin w gabisa istirahat anjjjjjjj,,,,badan rentek br0u",inqurior
13,13.0,2020-12-23 17:11:49+00:00,1341793646018904065,gores kertas pake pensil 8b tumpul enak banget anjrit pelagi kertasnye make 200gsm ke atas,inqurior
14,14.0,2020-12-23 13:40:25+00:00,1341740446070915074,hanzdays rooftopan dimane si anjir keren bet,inqurior
15,15.0,2020-12-22 17:03:29+00:00,1341429163039682560,suddenly tibatiba inget jaman gebetin gibson,inqurior
16,16.0,2020-12-22 15:04:12+00:00,1341399143646949380,"kaga ada yang buka joki nirmana ape anjrit,, bukan tugas tapi uas wkwk",inqurior
17,17.0,2020-12-20 11:44:03+00:00,1340623998858608640,"gegara sameday edit video,, berlimaan depan pelaminan bangga sendiri liat hasil foto vid yang ditayangin proyektor wkwkkwkwkwkwkwkkwk",inqurior
18,18.0,2020-12-20 10:47:22+00:00,1340609734185914371,pen punya pcar,inqurior
19,19.0,2020-12-20 10:07:17+00:00,1340599644829614081,anjg giliran lagi repot moto begini w bm nugas asu soaktip bat da gua,inqurior
20,20.0,2020-12-20 01:24:58+00:00,1340468203084939264,suka dekdekan da gua kalo mo moto wedding soalnye sekali seumur idup anjg,inqurior
21,21.0,2020-12-15 23:00:20+00:00,1338982249669095425,gua kira jam enem sore njg panik,inqurior
22,22.0,2020-12-15 12:41:58+00:00,1338826635752087552,tibatiba pen rewatch noragami sama kekkai,inqurior
23,23.0,2020-12-14 20:59:09+00:00,1338589365778305025,ni dorohedoro sisen dua kapan keluar da?? mappa ngelarin aot final season dulu kali ye baru ngurus dorohedoro,inqurior
24,24.0,2020-12-13 19:39:35+00:00,1338206957388267520,apakah aq harus membuat design wrapped 2020 qu agar supaya,inqurior
25,25.0,2020-12-10 21:08:45+00:00,1337142231002574848,"sedi banget babi otakudesu ude gabisa diakses :""",inqurior
26,26.0,2020-12-10 20:45:14+00:00,1337136313921724416,pen wotain aot sama hxh doain hari ini kejadian,inqurior
27,27.0,2020-12-09 06:25:11+00:00,1336557488297013251,"kalo sampe kelar wedding gada kendala dan drama drama rese kluarga,,..ini bakal jadi klien terpewe sepanjang prilens moto",inqurior
28,28.0,2020-12-05 15:15:02+00:00,1335241275562323974,"kakanye bokap gua alzheimer dulu nanyanya sekola dimana sekarang ude ganti jadi ""ude lulus sekola mal?"" ""semester berape?""",inqurior
29,29.0,2020-12-04 20:16:34+00:00,1334954771707400192,"p: tar jam sepulu cek lokasi buat weddingnya reja mal
w: oyaude
p: tidur dulu lu sono
w: kaga gua baru bangun
p: oh tahajud lu yak (((0h tAHAJud Lu Y4k))))))

pffttt.. pen w jawab ""yakali gua solat sunnah wajib aje jarang"" tapi tar die ngadu ke nyokap gua",inqurior
30,30.0,2020-12-02 07:25:02+00:00,1334035834144649218,eh mentok bat da ni gua buat konsep uas bitmap udema minimal lapan asset..,inqurior
31,31.0,2020-11-25 05:17:12+00:00,1331466948090097665,"gabisa banget da cetingan ama abang sendiri,, canggung asu gatau mo bales ape mendingan ngobrol langsung",inqurior
32,32.0,2020-11-24 00:46:16+00:00,1331036375576035329,menangis,inqurior
33,33.0,2020-11-23 16:22:40+00:00,1330909643065815040,ye bangsat gua kira ude paham dari awal die nyaranin ke grup taunya baru paham tadi gblk banyak ngomong doang si asu,inqurior
34,34.0,2020-11-22 14:52:48+00:00,1330524639953502208,ilangin keram perut sama punggung make paan y? gakuat duduk asw gua pen gambar,inqurior
35,35.0,2020-11-15 04:51:07+00:00,1327836504320737285,gua ketinggalan seminar mulu da anjing,inqurior
36,36.0,2020-11-14 10:43:01+00:00,1327562674863947777,malem ngerjain bitmap,inqurior
37,37.0,2020-11-14 08:13:46+00:00,1327525115613958144,bangsat cakung mulai panas lagi ni asu,inqurior
38,38.0,2020-11-12 23:16:52+00:00,1327027611877294081,mo tidur tapi kudu nyatuin ppt kelompok bgst,inqurior
39,39.0,2020-11-12 06:56:37+00:00,1326780924336492544,pen nyetok jungle juice pome sama pocari 5 kerdus,inqurior
40,40.0,2020-11-10 07:21:04+00:00,1326062302261510145,percuma ajg beresin kamar kalo masi ada tugas nirmana trimatra alias bakal berantakan lagi aaaa,inqurior
41,41.0,2020-11-10 05:20:24+00:00,1326031934393249792,kangen bikin disen+motongin sertifikat buat peserta sama pembicara acara sekola anjg,inqurior
42,42.0,2020-11-09 10:16:22+00:00,1325744029657526273,"nonton yang mane dulu ye prison playbook, i'm not a robot, one spring night ape tkem?? mohon bantuannya @fairybrewery ato ada yang laen????",inqurior
43,43.0,2020-11-08 19:11:38+00:00,1325516346239537152,ihanjing gasuka bat da gua ama scene scene sala paham gini bgsaatttt,inqurior
44,44.0,2020-11-08 06:49:32+00:00,1325329591464939520,akakkakakaak startup eps tuju gece yha waw,inqurior
